Dataset	Domains	www.google.com	doubleclick.net	google-analytics.com	googleapis.com	maps.google.com	youtube.com	google.se
alexa.2014-09-01.random.10000-http	8216	0.31458305888552235	0.3276248188644447	0.6844947964695034	0.4887366618363852	0.017257278355947835	0.076933210380714	0.07732841522856014
alexa.2014-09-01.random.10000-http-www	8493	0.310926517571885	0.32115015974440897	0.6828115015974441	0.4838338658146965	0.017635782747603832	0.07706070287539936	0.07680511182108626
alexa.2014-09-01.random.10000-https	1135	0.34794776119402987	0.38152985074626866	0.7369402985074627	0.5018656716417911	0.013992537313432836	0.10074626865671642	0.14738805970149255
alexa.2014-09-01.random.10000-https-www	1224	0.2993854258121159	0.3748902546093064	0.7664618086040387	0.43371378402107114	0.015803336259877086	0.07462686567164178	0.17647058823529413
alexa.2014-09-01.top.10000-http	8545	0.3803816046966732	0.5227495107632094	0.6816291585127201	0.39799412915851273	0.004892367906066536	0.05675146771037182	0.17844911937377692
alexa.2014-09-01.top.10000-http-www	8682	0.3782120883098082	0.5205694293642177	0.6818675352877307	0.38906985161056823	0.005066956207021353	0.05368560743153577	0.17903245264808781
alexa.2014-09-01.top.10000-https	2507	0.3659772055719713	0.5293372731110173	0.6876319121992401	0.402701561840439	0.004643309413254538	0.060785141409877584	0.2228788518362178
alexa.2014-09-01.top.10000-https-www	2957	0.3670117815066048	0.5298107818636202	0.6672616922527669	0.3777222420564084	0.006069260978222063	0.052124241342377725	0.22920385576579794
alexa.2014-09-01.top.dk.10000-http	2263	0.3080524344569288	0.3890449438202247	0.7364232209737828	0.5589887640449438	0.021067415730337078	0.05711610486891386	0.16619850187265917
alexa.2014-09-01.top.dk.10000-http-www	2310	0.30476626947754354	0.39413382218148485	0.7378551787351054	0.5563703024747938	0.02016498625114574	0.05453712190650779	0.1617781851512374
alexa.2014-09-01.top.dk.10000-https	339	0.3227848101265823	0.40189873417721517	0.7151898734177216	0.5189873417721519	0.0189873417721519	0.04430379746835443	0.24367088607594936
alexa.2014-09-01.top.dk.10000-https-www	441	0.33251231527093594	0.4408866995073892	0.729064039408867	0.46798029556650245	0.017241379310344827	0.04433497536945813	0.26354679802955666
alexa.2014-09-01.top.se.10000-http	2797	0.29545454545454547	0.3461251862891207	0.7794336810730254	0.5167660208643815	0.02421758569299553	0.07153502235469449	0.13897168405365126
alexa.2014-09-01.top.se.10000-http-www	2895	0.29435048578625406	0.3411299028427492	0.7876934148974452	0.525368837711407	0.02482907520690896	0.06944944224541202	0.13494062612450522
alexa.2014-09-01.top.se.10000-https	438	0.3080568720379147	0.3696682464454976	0.8222748815165877	0.5260663507109005	0.03317535545023697	0.05687203791469194	0.1895734597156398
alexa.2014-09-01.top.se.10000-https-www	650	0.3253968253968254	0.4031746031746032	0.7984126984126985	0.46984126984126984	0.03015873015873016	0.05555555555555555	0.22857142857142856
com.2014-08-29.random.10000-http	7775	0.43539054966248797	0.42333654773384766	0.343297974927676	0.3161362905818065	0.01639344262295082	0.031018964963034395	0.01767920282867245
com.2014-08-29.random.10000-http-www	7811	0.43246274635475085	0.42012497997115844	0.3422528440954975	0.3162954654702772	0.016663996154462426	0.030123377663835924	0.01874699567377023
com.2014-08-29.random.10000-https	50	0.24390243902439024	0.14634146341463414	0.5853658536585366	0.5365853658536586	0.024390243902439025	0.0975609756097561	0.0975609756097561
com.2014-08-29.random.10000-https-www	55	0.20930232558139536	0.16279069767441862	0.5813953488372093	0.46511627906976744	0.023255813953488372	0.09302325581395349	0.06976744186046512
dk.2014-07-23.random.10000-http	7180	0.1969303934284479	0.11781236489407695	0.42844790315607434	0.46973627323821876	0.017942066580198875	0.035667963683527884	0.10138348465196714
dk.2014-07-23.random.10000-http-www	7378	0.1921223549130526	0.11376492771841609	0.42656610098470565	0.46218311334590406	0.018437041692855646	0.0339409176618479	0.0961659333752357
dk.2014-07-23.random.10000-https	23	0.3125	0.25	0.6875	0.4375	0	0.1875	0
dk.2014-07-23.random.10000-https-www	32	0.2727272727272727	0.22727272727272727	0.7272727272727273	0.36363636363636365	0	0.18181818181818182	0.045454545454545456
net.2014-08-29.random.10000-http	7270	0.4832377974639569	0.4667361472989404	0.3072780962306757	0.25951016154247003	0.009379885356956748	0.025186729199235713	0.01684905332638527
net.2014-08-29.random.10000-http-www	7378	0.47730775817777016	0.45949648912485014	0.30724439116287033	0.25740709025518066	0.008563110121596164	0.025346805959924643	0.016954958040760405
net.2014-08-29.random.10000-https	26	0.125	0.125	0.6875	0.75	0.0625	0	0
net.2014-08-29.random.10000-https-www	28	0.15	0.15	0.6	0.65	0.05	0	0.05
reach50.2014w35.se-http	43	0.18604651162790697	0.32558139534883723	0.5116279069767442	0.27906976744186046	0	0.023255813953488372	0.16279069767441862
reach50.2014w35.se-http-www	42	0.14285714285714285	0.2619047619047619	0.5476190476190477	0.2619047619047619	0	0.023809523809523808	0.11904761904761904
reach50.2014w35.se-https	18	0.11764705882352941	0.23529411764705882	0.5882352941176471	0.29411764705882354	0	0	0.11764705882352941
reach50.2014w35.se-https-www	26	0.07692307692307693	0.19230769230769232	0.5769230769230769	0.3076923076923077	0	0.038461538461538464	0.07692307692307693
se.2014-07-10.random.100000-http	73605	0.18435917058416237	0.11034583287781058	0.4286469151998834	0.4526438540869502	0.01794759666192923	0.031667942130388836	0.07794905433475456
se.2014-07-10.random.100000-http-www	77261	0.18046118824612925	0.10918032217144247	0.42912749578605314	0.44507967400559545	0.017290214954732652	0.030896484612577546	0.07505169687385962
se.2014-07-10.random.100000-https	282	0.16371681415929204	0.1415929203539823	0.8008849557522124	0.48672566371681414	0.022123893805309734	0.030973451327433628	0.08849557522123894
se.2014-07-10.random.100000-https-www	328	0.16140350877192983	0.19298245614035087	0.7719298245614035	0.43859649122807015	0.021052631578947368	0.021052631578947368	0.11578947368421053
se.healthstatus.2013.counties-http	18	0.2222222222222222	0	0.8333333333333334	0.4444444444444444	0	0	0
se.healthstatus.2013.counties-http-www	21	0.19047619047619047	0	0.8095238095238095	0.5238095238095238	0	0	0
se.healthstatus.2013.counties-https	3	0	0	1	0.3333333333333333	0	0	0
se.healthstatus.2013.counties-https-www	6	0.2	0	1	0.6	0	0	0
se.healthstatus.2013.domain-registrars-http	127	0.21296296296296297	0.21296296296296297	0.8148148148148148	0.5	0.027777777777777776	0.046296296296296294	0.19444444444444445
se.healthstatus.2013.domain-registrars-http-www	134	0.22123893805309736	0.22123893805309736	0.7876106194690266	0.5132743362831859	0.035398230088495575	0.05309734513274336	0.19469026548672566
se.healthstatus.2013.domain-registrars-https	40	0.3235294117647059	0.38235294117647056	0.8235294117647058	0.4411764705882353	0.058823529411764705	0.11764705882352941	0.3235294117647059
se.healthstatus.2013.domain-registrars-https-www	42	0.25	0.3333333333333333	0.8055555555555556	0.4444444444444444	0.027777777777777776	0.08333333333333333	0.2222222222222222
se.healthstatus.2013.financial-services-http	67	0.14925373134328357	0.1791044776119403	0.5970149253731343	0.208955223880597	0	0.029850746268656716	0.1044776119402985
se.healthstatus.2013.financial-services-http-www	72	0.14084507042253522	0.16901408450704225	0.5915492957746479	0.22535211267605634	0.014084507042253521	0.028169014084507043	0.09859154929577464
se.healthstatus.2013.financial-services-https	16	0.1875	0.125	0.6875	0.3125	0	0.125	0.0625
se.healthstatus.2013.financial-services-https-www	31	0.2903225806451613	0.22580645161290322	0.7419354838709677	0.25806451612903225	0	0.06451612903225806	0.1935483870967742
se.healthstatus.2013.gocs-http	49	0.20833333333333334	0.16666666666666666	0.9791666666666666	0.4375	0.125	0.0625	0.020833333333333332
se.healthstatus.2013.gocs-http-www	57	0.18181818181818182	0.14545454545454545	0.9454545454545454	0.41818181818181815	0.10909090909090909	0.05454545454545454	0.01818181818181818
se.healthstatus.2013.gocs-https	4	0	0.25	0.75	0.25	0.25	0	0
se.healthstatus.2013.gocs-https-www	9	0	0.2222222222222222	0.6666666666666666	0.2222222222222222	0.1111111111111111	0	0
se.healthstatus.2013.higher-education-http	40	0.15789473684210525	0.13157894736842105	0.9210526315789473	0.2894736842105263	0.02631578947368421	0.07894736842105263	0.05263157894736842
se.healthstatus.2013.higher-education-http-www	47	0.13636363636363635	0.09090909090909091	0.9318181818181818	0.3181818181818182	0.045454545454545456	0.06818181818181818	0.045454545454545456
se.healthstatus.2013.higher-education-https	9	0.2222222222222222	0.1111111111111111	1	0.2222222222222222	0	0.1111111111111111	0
se.healthstatus.2013.higher-education-https-www	24	0.16666666666666666	0.20833333333333334	0.9583333333333334	0.2916666666666667	0	0.125	0.08333333333333333
se.healthstatus.2013.isps-http	18	0.2222222222222222	0.3333333333333333	0.7222222222222222	0.4444444444444444	0.05555555555555555	0	0.2222222222222222
se.healthstatus.2013.isps-http-www	19	0.2631578947368421	0.3684210526315789	0.7894736842105263	0.47368421052631576	0.05263157894736842	0	0.2631578947368421
se.healthstatus.2013.isps-https	6	0.5	0.6666666666666666	0.8333333333333334	0.5	0	0	0.5
se.healthstatus.2013.isps-https-www	10	0.4	0.4	0.7	0.5	0.1	0	0.4
se.healthstatus.2013.media-http	26	0.16	0.44	0.72	0.56	0	0.04	0.08
se.healthstatus.2013.media-http-www	28	0.1111111111111111	0.4074074074074074	0.7407407407407407	0.6296296296296297	0	0	0.07407407407407407
se.healthstatus.2013.media-https	4	0	0.25	0.75	0.75	0	0	0
se.healthstatus.2013.media-https-www	5	0	0.4	1	0.8	0	0	0
se.healthstatus.2013.municipalities-http	249	0.3682008368200837	0.012552301255230125	0.8284518828451883	0.5523012552301255	0.04184100418410042	0.02510460251046025	0.012552301255230125
se.healthstatus.2013.municipalities-http-www	271	0.39147286821705424	0.015503875968992248	0.813953488372093	0.5542635658914729	0.03488372093023256	0.01937984496124031	0.011627906976744186
se.healthstatus.2013.municipalities-https	44	0.2682926829268293	0.024390243902439025	0.8780487804878049	0.4146341463414634	0.04878048780487805	0.024390243902439025	0
se.healthstatus.2013.municipalities-https-www	54	0.26	0.02	0.88	0.48	0.04	0	0
se.healthstatus.2013.public-authorities-http	170	0.10493827160493827	0.030864197530864196	0.8395061728395061	0.4012345679012346	0.024691358024691357	0.037037037037037035	0
se.healthstatus.2013.public-authorities-http-www	203	0.09574468085106383	0.02127659574468085	0.8457446808510638	0.42021276595744683	0.02127659574468085	0.026595744680851064	0
se.healthstatus.2013.public-authorities-https	18	0.06666666666666667	0	0.8666666666666667	0.26666666666666666	0	0	0
se.healthstatus.2013.public-authorities-https-www	37	0.027777777777777776	0.027777777777777776	0.8055555555555556	0.2777777777777778	0	0	0
