Dataset	0.1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
alexa.2014-09-01.random.10000-http	0.1127939908878217	0.4367688708287157	0.61753478635636	0.7443664573328408	0.8199729097401798	0.8768624553626401	0.911710380495013	0.9352296515207487	0.9524689077699791	0.9620736362516932	0.9683536510281985	0.9727866026351435	0.9759881787957149	0.9777121044206379	0.9796823051348357	0.981159955670484	0.9822681935722202	0.9836227065632311	0.9841152567417806	0.9843615318310553	0.9847309444649675	0.9852234946435169	0.9857160448220663	0.9858391823667036	0.9863317325452531	0.9867011451791652	0.98694742026844	0.9873168329023521	0.9881787957148136	0.9885482083487257	0.9887944834380005	0.9897795837950993	0.9901489964290114	0.9902721339736488	0.9908878216968355	0.9912572343307476	0.9915035094200224	0.9916266469646597	0.9917497845092971	0.9917497845092971	0.9918729220539344	0.9919960595985717	0.9923654722324838	0.993104297500308	0.9942125354020442	0.9945819480359563	0.9951976357591431	0.9963058736608793	0.9963058736608793	0.9964290112055166	0.9967984238394287	0.9969215613840661	0.9969215613840661	0.9971678364733408	0.9974141115626156	0.9976603866518904	0.9977835241965277	0.9977835241965277	0.997906661741165	0.9980297992858024	0.9983992119197145	0.9983992119197145	0.9983992119197145	0.9983992119197145	0.9985223494643518	0.9986454870089891	0.9986454870089891	0.9988917620982639	0.9988917620982639	0.9990148996429012	0.9991380371875386	0.9992611747321759	0.9992611747321759	0.9993843122768132	0.9995074498214506	0.9997537249107253	0.9998768624553627	0.9998768624553627	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
alexa.2014-09-01.random.10000-http-www	0.117752113346827	0.4467198476009049	0.6224550541731159	0.7497321109655912	0.823669484462436	0.8784379092749137	0.913799261816883	0.9378497440171449	0.9530896535301822	0.9632099059411835	0.9690439338016431	0.973568281938326	0.9767829503512323	0.9785688772472914	0.9799976187641386	0.9815454220740565	0.9828551017978331	0.9841647815216097	0.9847600904869627	0.9853553994523157	0.9858316466245981	0.9867841409691629	0.9871413263483747	0.9876175735206572	0.987974758899869	0.9880938206929396	0.9885700678652221	0.9885700678652221	0.9889272532444339	0.989165376830575	0.9895225622097868	0.989760685795928	0.9905941183474223	0.9909513037266341	0.9914275508989165	0.9916656744850577	0.9917847362781284	0.9920228598642695	0.9921419216573402	0.9922609834504108	0.9923800452434814	0.9923800452434814	0.9923800452434814	0.9928562924157639	0.9938087867603287	0.9949994046910348	0.9959518990355996	0.9961900226217407	0.9965472080009525	0.9966662697940232	0.9966662697940232	0.9966662697940232	0.9967853315870938	0.9969043933801645	0.9969043933801645	0.9971425169663056	0.9971425169663056	0.9974997023455174	0.9976187641385881	0.9977378259316587	0.9979759495177999	0.9980950113108705	0.9984521966900823	0.9984521966900823	0.998571258483153	0.9986903202762236	0.9988093820692943	0.9989284438623649	0.9990475056554355	0.9991665674485062	0.9992856292415768	0.999523752827718	0.9996428146207886	0.9996428146207886	0.9997618764138593	0.9997618764138593	0.9998809382069299	0.9998809382069299	0.9998809382069299	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004
alexa.2014-09-01.random.10000-https	0.06529516994633273	0.3613595706618962	0.5420393559928444	0.6815742397137746	0.7745974955277282	0.8524150268336316	0.9033989266547406	0.9338103756708408	0.9525939177101967	0.964221824686941	0.9713774597495528	0.9740608228980322	0.9776386404293381	0.9803220035778175	0.9821109123434705	0.9830053667262969	0.9874776386404293	0.9892665474060822	0.9901610017889086	0.9901610017889086	0.9910554561717351	0.992844364937388	0.992844364937388	0.992844364937388	0.992844364937388	0.9937388193202145	0.9937388193202145	0.9946332737030409	0.9955277280858673	0.9955277280858673	0.9955277280858673	0.9955277280858673	0.9964221824686937	0.9964221824686937	0.9973166368515202	0.9973166368515202	0.9973166368515202	0.9973166368515202	0.9973166368515202	0.9973166368515202	0.9973166368515202	0.9973166368515202	0.9973166368515202	0.9982110912343466	0.999105545617173	0.999105545617173	0.999105545617173	0.999105545617173	0.999105545617173	0.999105545617173	0.999105545617173	0.999105545617173	0.999105545617173	0.999105545617173	0.999105545617173	0.999105545617173	0.999105545617173	0.999105545617173	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994	0.9999999999999994
alexa.2014-09-01.random.10000-https-www	0.09563066776586975	0.4237427864798022	0.6084089035449299	0.7394888705688376	0.8120362737015664	0.8730420445177247	0.9051937345424568	0.9315746084089036	0.9439406430338005	0.9596042868920034	0.9670239076669416	0.9703215169002474	0.9736191261335532	0.9785655399835119	0.9802143446001649	0.9835119538334707	0.9843363561417972	0.9884583676834294	0.9884583676834294	0.9892827699917559	0.9901071723000824	0.9934047815333882	0.9942291838417147	0.9942291838417147	0.9950535861500411	0.9958779884583676	0.9967023907666941	0.9967023907666941	0.9967023907666941	0.9967023907666941	0.9967023907666941	0.9967023907666941	0.9975267930750206	0.9975267930750206	0.998351195383347	0.998351195383347	0.998351195383347	0.998351195383347	0.9991755976916735	0.9991755976916735	0.9991755976916735	0.9991755976916735	0.9991755976916735	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
alexa.2014-09-01.top.10000-http	0.0783132530120482	0.294235766595795	0.4248759744861801	0.5318922749822821	0.6137491141034728	0.6756437514764942	0.7308055752421451	0.7691944247578549	0.8028584927947082	0.8336876919442475	0.8563666430427592	0.8743208126624143	0.8888495157098985	0.8997165131112687	0.9110559886605245	0.9184975194897237	0.92570281124498	0.9321993857784078	0.9381053626269785	0.9437751004016064	0.9477911646586346	0.9525159461374911	0.9554689345617765	0.9587762815969761	0.9613749114103473	0.9633829435388613	0.9648003779825183	0.9666902905740609	0.967871485943775	0.9688164422395463	0.9705882352941175	0.9715331915898888	0.9723600283486887	0.9735412237184029	0.9747224190881171	0.976139853531774	0.9769666902905739	0.9785022442712024	0.9801559177888022	0.9815733522324591	0.9831089062130876	0.9848806992676588	0.9860618946373729	0.9862981337113158	0.9872430900070871	0.988660524450744	0.9899598393574296	0.9910229151901724	0.9919678714859437	0.9924403496338293	0.9931490668556578	0.9937396645405149	0.9938577840774863	0.9943302622253719	0.9944483817623433	0.9946846208362862	0.9952752185211432	0.9957476966690288	0.9963382943538859	0.9968107725017715	0.9969288920387429	0.9969288920387429	0.9971651311126858	0.9972832506496572	0.9974013701866286	0.9978738483345142	0.9981100874084571	0.9983463264824	0.9984644460193713	0.9987006850933142	0.9990550437042285	0.9991731632411999	0.9994094023151427	0.9995275218521141	0.999763760926057	0.999763760926057	0.999763760926057	0.9998818804630284	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998
alexa.2014-09-01.top.10000-http-www	0.0822968731837731	0.30036033941648266	0.43043124491456475	0.5344647216087413	0.6158316866209463	0.6812739741950484	0.7350924096245498	0.7749622224805303	0.8055329536208301	0.8366848773683601	0.8579565267929794	0.8759734976171105	0.8895734046262933	0.900499825642218	0.9113100081366966	0.9202603742880392	0.9258398233174475	0.9324654190398699	0.9382773451121703	0.9428106474485646	0.9474601883064049	0.9518772521213531	0.9544344995931653	0.9566430315006395	0.9596652330582356	0.9615250494013717	0.9637335813088459	0.9650122050447519	0.966174590259212	0.9675694525165641	0.9687318377310242	0.9697779844240383	0.9709403696384984	0.9721027548529585	0.9730326630245265	0.9747762408462166	0.9761711031035687	0.9772172497965828	0.9782633964895968	0.980123212832733	0.981401836568639	0.9827966988259911	0.9837266069975591	0.9850052307334651	0.9857026618621412	0.9869812855980472	0.9881436708125073	0.9891898175055214	0.9901197256770894	0.9908171568057654	0.9919795420202255	0.9927932116703476	0.9932581657561317	0.9939555968848077	0.9941880739276997	0.9951179820992677	0.9952342206207138	0.9958154132279438	0.9961641287922818	0.9961641287922818	0.9961641287922818	0.9966290828780658	0.9969777984424039	0.9974427525281879	0.997907706613972	0.99825642217831	0.998372660699756	0.998605137742648	0.99883761478554	0.998953853306986	0.998953853306986	0.9993025688713241	0.999535045914216	0.9996512844356621	0.9997675229571081	0.9997675229571081	0.9998837614785542	0.9998837614785542	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002
alexa.2014-09-01.top.10000-https	0.06421647819063005	0.268578352180937	0.4026655896607432	0.5306946688206786	0.6223747980613894	0.7031502423263328	0.7605008077544427	0.7992730210016156	0.8364297253634896	0.8655088852988693	0.8869143780290792	0.9042810985460421	0.9168012924071084	0.9240710823909533	0.9325525040387723	0.9406300484652667	0.9454765751211632	0.951534733441034	0.9559773828756059	0.9588045234248789	0.9624394184168014	0.9648626817447497	0.9684975767366721	0.9709208400646204	0.972940226171244	0.9737479806138934	0.9749596122778676	0.9765751211631665	0.9773828756058159	0.9789983844911148	0.980210016155089	0.980210016155089	0.980210016155089	0.9806138933764137	0.9814216478190632	0.9826332794830374	0.9826332794830374	0.9842487883683362	0.9842487883683362	0.985864297253635	0.9874798061389338	0.988691437802908	0.9894991922455575	0.9899030694668822	0.990306946688207	0.9915185783521812	0.9927302100161554	0.9927302100161554	0.9939418416801296	0.9939418416801296	0.9951534733441038	0.996365105008078	0.996365105008078	0.996365105008078	0.996365105008078	0.9971728594507274	0.9971728594507274	0.9971728594507274	0.9971728594507274	0.9975767366720522	0.9979806138933769	0.9979806138933769	0.9979806138933769	0.9983844911147016	0.9983844911147016	0.9983844911147016	0.9983844911147016	0.9991922455573511	0.9995961227786758	0.9995961227786758	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004	1.0000000000000004
alexa.2014-09-01.top.10000-https-www	0.07215793056501021	0.2879509870660313	0.4240980258679373	0.5432266848196051	0.6392103471749488	0.7110279101429543	0.7682096664397549	0.8070115724982981	0.8413886997957795	0.8699795779441797	0.8914227365554799	0.90571817562968	0.9138869979577944	0.9257998638529612	0.9319264805990469	0.9394145677331518	0.9445200816882233	0.9509870660313139	0.9577944179714092	0.9605173587474473	0.9639210347174949	0.9686861810755616	0.9700476514635806	0.9720898570456092	0.9734513274336283	0.9754935330156569	0.9771953710006808	0.9792375765827094	0.9809394145677333	0.981279782164738	0.9816201497617427	0.9816201497617427	0.982641252552757	0.9836623553437713	0.9846834581347856	0.9857045609257999	0.9860449285228047	0.987066031313819	0.9877467665078286	0.9887678692988429	0.9901293396868619	0.9914908100748809	0.9925119128658952	0.9931926480599048	0.9935330156569095	0.9945541184479239	0.9952348536419334	0.9952348536419334	0.995915588835943	0.9965963240299526	0.9969366916269573	0.9979577944179716	0.9982981620149763	0.9986385296119811	0.9989788972089858	0.9993192648059905	0.9993192648059905	0.9993192648059905	0.9993192648059905	0.9993192648059905	0.9993192648059905	0.9993192648059905	0.9993192648059905	0.9996596324029953	0.9996596324029953	0.9996596324029953	0.9996596324029953	0.9996596324029953	0.9996596324029953	0.9996596324029953	0.9996596324029953	0.9996596324029953	0.9996596324029953	0.9996596324029953	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
alexa.2014-09-01.top.dk.10000-http	0.07336594041796354	0.4268563806136061	0.6104935526900845	0.7332147621164963	0.8105824811027124	0.8617163183637172	0.8968430413517119	0.9212983548243664	0.9373054690973767	0.9470875944864384	0.9542018674966651	0.9608714984437527	0.969319697643397	0.9737661182747888	0.9795464650955981	0.9848821698532682	0.987105380168964	0.9884393063583815	0.9919964428634949	0.9928857269897732	0.9928857269897732	0.995108937305469	0.9964428634948865	0.9968875055580257	0.997332147621165	0.9977767896843042	0.9977767896843042	0.9982214317474434	0.9986660738105826	0.9986660738105826	0.9986660738105826	0.9986660738105826	0.9986660738105826	0.9991107158737218	0.9991107158737218	0.9991107158737218	0.9991107158737218	0.9991107158737218	0.9991107158737218	0.9991107158737218	0.9991107158737218	0.9991107158737218	0.9991107158737218	0.9991107158737218	0.9991107158737218	0.9991107158737218	0.9991107158737218	0.9991107158737218	0.9991107158737218	0.9991107158737218	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002
alexa.2014-09-01.top.dk.10000-http-www	0.07612005219660722	0.4240974336668117	0.6128751631143976	0.7303175293605916	0.8155719878207917	0.8642888212266203	0.9016963897346673	0.9260548064375815	0.941278816876903	0.9525880817746846	0.9617224880382774	0.9660722053066549	0.9721618094823835	0.9773814702044366	0.9826011309264896	0.9869508481948671	0.9891257068290559	0.9913005654632446	0.9952153110047844	0.99608525445846	0.99608525445846	0.9965202261852977	0.9978251413658109	0.9978251413658109	0.9978251413658109	0.9986950848194864	0.9986950848194864	0.9986950848194864	0.9986950848194864	0.9986950848194864	0.9986950848194864	0.9986950848194864	0.9986950848194864	0.9991300565463241	0.9991300565463241	0.9991300565463241	0.9991300565463241	0.9995650282731618	0.9995650282731618	0.9995650282731618	0.9995650282731618	0.9995650282731618	0.9995650282731618	0.9995650282731618	0.9995650282731618	0.9995650282731618	0.9995650282731618	0.9995650282731618	0.9995650282731618	0.9995650282731618	0.9995650282731618	0.9995650282731618	0.9995650282731618	0.9995650282731618	0.9995650282731618	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.9999999999999996
alexa.2014-09-01.top.dk.10000-https	0.08383233532934131	0.3652694610778443	0.5179640718562875	0.6137724550898204	0.7245508982035929	0.7934131736526947	0.8413173652694612	0.8712574850299403	0.8922155688622756	0.9071856287425151	0.9281437125748504	0.9371257485029941	0.9520958083832336	0.9550898203592815	0.9670658682634731	0.9730538922155689	0.9730538922155689	0.9850299401197605	0.9880239520958084	0.9880239520958084	0.9910179640718563	0.9970059880239521	0.9970059880239521	0.9970059880239521	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
alexa.2014-09-01.top.dk.10000-https-www	0.10321100917431193	0.36926605504587157	0.5275229357798166	0.6422018348623854	0.7339449541284404	0.8142201834862386	0.8600917431192661	0.8899082568807339	0.8990825688073394	0.9174311926605504	0.9357798165137614	0.9380733944954128	0.9495412844036697	0.963302752293578	0.9724770642201834	0.9793577981651376	0.981651376146789	0.9839449541284404	0.9931192660550459	0.9931192660550459	0.9931192660550459	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
