Category/TLD	Pages	With ads	pct	(T) Pages	(T) With ads	(T) pct
all	1113	622	56	0	0	0
reference	99	32	32	0	0	0
regional	98	59	60	0	0	0
science	95	31	33	0	0	0
shopping	97	54	56	0	0	0
arts	98	76	78	0	0	0
business	98	61	62	0	0	0
computers	88	47	53	0	0	0
games	95	61	64	0	0	0
health	99	40	40	0	0	0
home	97	60	62	0	0	0
news	98	83	85	0	0	0
political	88	61	69	0	0	0
recreation	95	46	48	0	0	0
com	832	532	64	0	0	0
org	65	24	37	0	0	0
gov	50	3	6	0	0	0
net	27	13	48	0	0	0
edu	43	5	12	0	0	0
global500	457	266	58	0	0	0